Nombre de evento:,La Unión - 25/3/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fecha:,2025-03-25T10:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sitio,sitio_lat,sitio_lng,estrato,monitoreo_ise,fecha,matriz_ambiental,estructura_de_suelo,SCORE TOTAL,Abundancia de Canopeo,Organismos Vivos,Pastos de Verano,Pastos de Invierno,Hierbas y Leguminosas,Árboles y Arbustos,Especies Deseables,Especies Indeseables,Mantillo,Incorporación del Mantillo,Desaparición de Excrementos,Suelo Desnudo,Encostramiento,Erosión Eólica,Erosión Hídrica,Biomasa (kg de materia seca x HA),Biomasa (m2 para un día animal),Calidad Forraje,Patrón de Uso,Intensidad
LAU 14,-32.6848131,-61.3692315,BAJO,STM,2025-03-25 10:48:14-03:00,,,40,-10,0,5,-5,0,0,0,0,10,10,10,20,0,0,0,500,0,3.5,PP,moderate
LAU01,-32.6906126,-61.3509401,LOMA,STM,2025-03-26 15:58:20-03:00,,,10,-5,-5,-10,-10,0,,0,0,10,10,0,20,0,0,0,4500,0,4,SP,none
LAU02,-32.6837009,-61.3479389,LOMA,STM,2025-03-26 15:43:50-03:00,,,10,-5,-5,-10,-10,0,,0,0,10,10,0,20,0,0,0,4600,0,4,SP,none
LAU03,-32.676015,-61.3550933,LOMA,STM,2025-03-25 17:45:28-03:00,,,25,5,0,-10,-10,0,0,0,0,10,10,0,20,0,0,0,6000,0,4,SD,none
LAU04,-32.681317,-61.3636326,LOMA,STM,2025-03-25 11:16:35-03:00,,,15,0,-5,-10,-10,0,,0,0,10,10,0,20,0,0,0,4000,0,4,SD,none
LAU05,-32.6729678,-61.3643545,BAJO,STM,2025-03-25 15:51:12-03:00,,,75,10,10,0,0,5,,0,0,10,10,10,20,0,0,0,5200,0,4.5,PP,none
LAU06,-32.6848045,-61.360204,BAJO,STM,2025-03-26 16:17:35-03:00,,,50,-10,10,0,0,0,,0,0,10,10,10,20,0,0,0,600,0,3,PP,intense
LAU07,-32.6819782,-61.3539648,BAJO,STM,2025-03-26 09:10:42-03:00,,,55,5,5,0,-10,5,,0,0,10,10,10,20,,,,4000,0,1,PP,none
LAU08,-32.6774988,-61.3606958,MEDIA LOMA,STM,2025-03-25 14:54:01-03:00,,,10,0,-5,-5,-10,0,,0,0,0,10,0,20,0,0,0,3800,0,4,SD,none
LAU09,-32.674132,-61.3501122,MEDIA LOMA,STM,2025-03-25 13:23:51-03:00,,,60,10,5,5,0,-10,,0,0,10,10,10,20,0,0,0,,,,,
LAU10,-32.6881271,-61.3614156,MEDIA LOMA,STM,2025-03-25 19:12:42-03:00,,,55,5,5,0,0,0,,0,-5,10,10,10,20,0,0,0,6000,0,3.5,PP,none
LAU11,-32.6792057,-61.3575132,LOMA,STM,2025-03-25 11:51:31-03:00,,,15,0,-5,-10,-10,0,0,0,0,10,10,0,20,0,0,0,4000,0,4,SD,none
LAU12,-32.6825881,-61.3701118,LOMA,STM,2025-03-25 10:23:09-03:00,,,15,0,-5,-10,-10,0,,0,0,10,10,0,20,0,0,0,4000,0,3.5,SD,none
LAU13,-32.6708245,-61.3664664,LOMA,STM,2025-03-25 16:19:13-03:00,,,0,-10,0,-10,-10,-10,0,0,0,10,10,0,20,0,0,0,20000,0,3.5,SD,none
LAU15,-32.681519,-61.3573017,BAJO,STM,2025-03-25 11:34:41-03:00,,,30,-10,0,0,0,-10,,0,0,10,10,10,20,0,0,0,300,0,3,PP,intense
LAU16,-32.6759971,-61.3479221,BAJO,STM,2025-03-25 12:51:17-03:00,,,55,0,5,5,-10,5,,0,0,10,10,10,20,0,0,0,3000,0,3.5,PP,none
LAU17,-32.6858169,-61.355915,MEDIA LOMA,STM,2025-03-26 08:36:24-03:00,,,60,0,5,0,5,0,,0,0,10,10,10,20,0,0,0,3000,0,1,PP,none
LAU18,-32.6892236,-61.3673358,MEDIA LOMA,STM,2025-03-25 18:55:38-03:00,,,30,-10,5,0,0,-5,,0,-10,10,10,10,20,0,0,0,1100,0,3.5,PP,moderate
LAU19,-32.6762356,-61.3680083,MEDIA LOMA,STM,2025-03-25 15:18:29-03:00,,,20,0,0,-5,-10,0,,0,0,5,10,0,20,0,0,0,4000,0,4,SD,none
LAU20,-32.6724254,-61.35651,MEDIA LOMA,STM,2025-03-25 17:27:45-03:00,,,60,5,5,5,5,-10,,0,0,10,10,10,20,0,0,0,4900,1,4,PP,none
