Nombre de evento:,La Unión - 25/3/2025,,,,,,
Fecha:,2025-03-25T10:00:00.000Z,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
sitio,plan_lat,plan_lng,actual_lat,actual_lng,sitio_aleatorio,confirmado_a_campo,estrato
LAU07,-32.68198,-61.35396946,-32.6819782,-61.3539648,no,si,BAJO
LAU05,-32.672966,-61.36433349,-32.6729678,-61.3643545,no,si,BAJO
LAU20,-32.672419423512,-61.356506442626,-32.6724254,-61.35651,no,si,MEDIA LOMA
LAU11,-32.6792103122334,-61.3575363631445,-32.6792057,-61.3575132,no,si,LOMA
LAU01,-32.690645,-61.35090764,-32.6906126,-61.3509401,no,si,LOMA
LAU09,-32.674133,-61.35011614,-32.674132,-61.3501122,no,si,MEDIA LOMA
LAU08,-32.67751,-61.36071427,-32.6774988,-61.3606958,no,si,MEDIA LOMA
LAU003,-32.67760675,-61.36070836,-32.6776056,-61.3607137,no,si,MEDIA LOMA
LAU04,-32.681315,-61.36363361,-32.681317,-61.3636326,no,si,LOMA
LAU03,-32.676013,-61.35507517,-32.676015,-61.3550933,no,si,LOMA
LAU17,-32.6858184642213,-61.3559079915336,-32.6858169,-61.355915,no,si,MEDIA LOMA
LAU001,-32.68136397,-61.36354031,,,no,no,LOMA
LAU13,-32.6708251170085,-61.3664739560813,-32.6708245,-61.3664664,no,si,LOMA
LAU10,-32.688117,-61.3614172,-32.6881271,-61.3614156,no,si,MEDIA LOMA
LAU19,-32.6762332215135,-61.3680140253509,-32.6762356,-61.3680083,no,si,MEDIA LOMA
LAU12,-32.6825926466024,-61.3701096208094,-32.6825881,-61.3701118,no,si,LOMA
LAU02,-32.683687,-61.34796377,-32.6837009,-61.3479389,no,si,LOMA
LAU18,-32.6892291033346,-61.3673823562145,-32.6892236,-61.3673358,no,si,MEDIA LOMA
LAU16,-32.6760492789148,-61.3480039629575,-32.6759971,-61.3479221,no,si,BAJO
LAU 14,-32.6848090581594,-61.3692388122829,-32.6848131,-61.3692315,no,si,BAJO
LAU06,-32.684804,-61.36020125,-32.6848045,-61.360204,no,si,BAJO
LAU15,-32.6815163484857,-61.3572989418139,-32.681519,-61.3573017,no,si,BAJO
LAU002,-32.684792,-61.3599327,,,no,no,BAJO
